Resource,Column 8,Path,Min,Max,Max,Description,Available / Missing in KNHTS,Notes,Update Concept ID,Valueset URL,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19
Coverage,,Coverage.id,1,1,id,A unique id for the coverage resource that will be used for referencing within the bundle message.,,,,,,,,,,,,,,,,,,,,,,
Coverage,,Coverage.meta,1,1,Meta,Metadata about a resource,,,,,,,,,,,,,,,,,,,,,,
Coverage,,Coverage.meta.profile,1,*,Canonical,Profiles this resource claims to conform to,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.identifier,1,*,Identifier,A business unique identifier for the insurance certificate.,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.status,1,1,code,"The status of the resource instance. Default value: ""Active""",Missing,,No,http://hl7.org/fhir/ValueSet/fm-status,,,,,,,,,,,,,,,,,,
Coverage,,coverage.type,1,1,CodeableConcept,Coverage category such as medical or accident system: the coding system used code: the type code as per the coding system display: text display of the code,Available & Incomplete,,Yes,https://ilm-hie.dha.go.ke/ocl/orgs/MOH-KENYA/ValueSet/COVERAGE-TYPE/,,,,,,,,,,,,,,,,,,
Coverage,,coverage.policyHolder,0,1,Reference(itm Patient|itm PolicyHolder Organization),Owner of the policy. The patient,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.subscriber,0,1,Reference(itm Patient),Subscriber to the policy. A reference to the patient resource.  The patient,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.subscriberId,0,1,string,ID assigned to the subscriber. The policy subscriber ID from the insurance company. SHA Number,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.beneficiary,1,1,Reference(itm Patient),The party who is the subject of care and whose healthcare costs may be covered under the insurance policy. The Patient,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.dependent,0,1,string,Dependent number issued by an insurer to distinguish between multiple parties covered under the subscriber's policy.,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.relationship,1,1,CodeableConcept,The relationship of the beneficiary to the subscriber eg Self,Missing,,No,http://hl7.org/fhir/ValueSet/subscriber-relationship,,,,,,,,,,,,,,,,,,
Coverage,,coverage.period,0,1,period,"Time period during which the coverage is in force. A missing start date indicates the start date isn't known, a missing end date means the coverage is continuing to be in force",,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.payor,1,1,Reference itm Organization(insurer),Issuer of the policy. A reference to the insurance company,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.class,0,*,BackboneElement,Additional coverage classifications. Plan and group,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.class.type,1,1,CodeableConcept,Type of class such as 'group' or 'plan',Available,,Yes,https://ilm-hie.dha.go.ke/ocl/orgs/MOH-KENYA/ValueSet/COVERAGE-CLASS/,,,,,,,,,,,,,,,,,,
Coverage,,coverage.class.value,1,1,String,Value associated with the type. Group ID,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.class.name,0,1,String,Value associated with the type. Group display name,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.network,0,1,string,Insurer network,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.costToBeneficiary,0,*,BackboneElement,Patient payments for services/products. Ex: co-payment,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.costToBeneficiary.type,0,1,CodeableConcept,Cost category. This value set includes sample Coverage Copayment Type codes.,Missing,,No,http://hl7.org/fhir/ValueSet/coverage-copay-type,,,,,,,,,,,,,,,,,,
Coverage,,coverage.costToBeneficiary.valueQuantity,1,1,SimpleQuantity,The amount or percentage due from the beneficiary,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.costToBeneficiary.valueMoney,1,1,Money,money value to be paid by the beneficiary,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.costToBeneficiary.exception,0,*,BackboneElement,Exceptions for patient payments,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.costToBeneficiary.exception.type,1,1,CodeableConcept,Exception category,Missing,,No,http://hl7.org/fhir/ValueSet/coverage-financial-exception,,,,,,,,,,,,,,,,,,
